Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id,session,completion_token,date,expName,psychopyVersion,OS,frameRate
,,8.030998381,,space,0.318,21,0,21,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,9.606626605,,space,0.355,22,0,22,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.562535044,,space,0.304,23,0,23,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,3.295204322,,space,0.343,24,0,24,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,6.857387434,,space,0.319,25,0,25,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.017076003,,space,0.387,26,0,26,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,3.898697272,,space,0.333,27,0,27,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,4.089912323,,space,0.335,28,0,28,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.471246515,,space,0.37,29,0,29,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,2.559686894,,space,0.469,30,0,30,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,7.165110078,,space,0.403,31,0,31,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,4.61866351,,space,0.305,32,0,32,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.877160637,,space,0.269,33,0,33,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.908239443,,space,0.285,34,0,34,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,8.087875653,,space,0.317,35,0,35,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,3.616698866,,space,0.335,36,0,36,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,7.577353282,,space,0.289,37,0,37,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,9.659692426,,space,0.309,38,0,38,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,9.583715863,,space,0.401,39,0,39,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,8.266781405,,space,0.304,40,0,40,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
